A
AAN
AAPL
AAT
ABBV
ABC
ABM
ABR
ABT
ACC
ACN
ACU
ADC
ADI
ADM
ADP
AEL
AEP
AES
AFG
AFL
AFSI
AGCO
AGM
AGO
AHH
AHL
AIMC
AIT
AIV
AIZ
AJG
AKR
AL
ALB
ALE
ALK
ALL
ALLE
ALV
ALX
AMGN
AMNF
AMP
AMSF
AMT
AMTD
ANDE
ANDV
ANDX
ANTM
AON
AOS
APD
APH
APLO
APOG
APTS
APU
AQFH
ARE
ARGO
AROW
ARTNA
ASB
ASH
ATLO
ATO
ATR
ATRI
ATVI
AUBN
AVA
AVB
AVGO
AVT
AVX
AVY
AWK
AWR
AXP
AXS
AYR
AZZ
B
BA
BAC
BAH
BAM
BANF
BANR
BBT
BBY
BC
BCPC
BDX
BEN
BEP
BF-B
BFIN
BFS
BG
BGG
BGS
BHB
BIG
BIP
BK
BKH
BKSC
BKUTK
BLK
BMI
BMRC
BMS
BMTC
BMY
BOKF
BORT
BPFH
BPL
BPY
BR
BRC
BRO
BRX
BSET
BSRR
BT
BUSE
BWA
BXS
CAH
CAKE
CARO
CASS
CASY
CAT
CATC
CATY
CB
CBOE
CBRL
CBS
CBSH
CBT
CBU
CCBG
CCF
CCFN
CCOI
CDW
CE
CFFI
CFG
CFR
CHCO
CHD
CHDN
CHE
CHFC
CHRW
CHS
CINF
CIVB
CL
CLDB
CLDT
CLX
CMA
CMCSA
CMD
CME
CMI
CMP
CMS
CNI
CNO
CNP
CNS
COBZ
COLB
COLM
CONE
COR
CORE
COST
CPF
CPK
CPKF
CPT
CQH
CRI
CSCO
CSGS
CSL
CSVI
CSX
CTAS
CTBI
CTO
CTRE
CTWS
CUBE
CULP
CVG
CVGW
CVLY
CVS
CVX
CWBC
CWT
CZFS
CZWI
D
DAL
DCI
DDS
DEI
DFS
DGICA
DGICB
DGX
DHR
DIS
DKL
DLR
DNB
DNKN
DOV
DOX
DPZ
DTE
DUK
EAT
EBMT
EBTC
ECL
ED
EDR
EE
EFSI
EFX
EGP
EHC
EIX
EL
ELS
EMCF
EMCI
EMN
EMR
ENB
ENSG
EPD
EPR
EQM
ERIE
ES
ESCA
ESS
ETE
ETH
ETN
ETP
EV
EVBN
EVC
EVR
EXPD
EXPE
EXPO
EXR
EXSR
FAF
FAST
FBHS
FBIZ
FBNK
FBVA
FCBC
FCCO
FDEF
FDS
FDX
FELE
FFG
FFIC
FFIN
FFMR
FFNM
FHN
FIBK
FISI
FITB
FIX
FL
FLIC
FLIR
FLO
FLS
FLXS
FMAO
FMBH
FMBI
FMBM
FMCB
FNF
FNHC
FNLC
FNV
FORR
FOXA
FR
FRC
FRFC
FRME
FRT
FSBW
FSFG
FUL
FUN
FXNC
GABC
GAIN
GATX
GBCI
GBNK
GBX
GD
GEO
GFED
GFF
GGG
GGP
GIL
GIS
GLOP
GLT
GLW
GME
GNTX
GPC
GPI
GRC
GS
GSBC
GT
GTY
GWW
HAFC
HAS
HASI
HBAN
HBCP
HBI
HBNC
HCKT
HCSG
HD
HDB
HEI
HEP
HFBL
HFWA
HI
HIFS
HIG
HII
HLAN
HMLP
HMN
HNI
HNNA
HOG
HOMB
HON
HONT
HOPE
HP
HPQ
HPT
HRC
HRL
HRS
HSY
HTA
HTBK
HUBB
HUM
HURC
HVT
HVT-A
HWBK
HWKN
HY
IBCP
IBM
IBOC
IBTX
ICE
IDA
IEX
IFF
IHC
INDB
INGR
INN
INTU
IOSP
IP
IPAR
IPG
IR
IRM
ISBA
ISBC
ISCA
ISTR
ITT
ITW
IVZ
JBHT
JCI
JCOM
JJSF
JKHY
JLL
JNJ
JOUT
JPM
JW-A
K
KAI
KALU
KAR
